Name of Establishment ,Street Address,Zip Code,FUNCTION
Wild Birds Unlimited,10549 Scripps Poway Pkwy. #B-3,92131,Services
Gilmore Orthodontics,9870 Hibert St d9,92131,Services
Pinnacle Endodontics,10672 Wexford St Suite 265,92131,Services
Scripps Poway Orthodontics,"12112 Scripps Summit Dr., Suite F",92131,Services
Saint Gregory the Great Catholic Church,11451 Blue Cypress Drive,92131,Services
The New Scripps Ranch Farmers Market,10045 Carroll Canyon Road,92131,Grocery
Edward Jones Investments,"9968 Hibert St., Suite 102",92131,Services
Fitness Quest 10,9972 Scripps Ranch Blvd.,92131,Services
Scripps Ranch Swim and Racquet Club,9875 Aviary Drive,92131,Services
Scripps Preforming Arts Academy,"9920 Scripps Lake Dr., Suite 105",92131,Services
The French Oven,10299 Scripps Trail suite e,92131,Eatery
Pazzos Pizza,10299 Scripps Trail,92131,Eatery
Pawfection Pet Salon,10295 Scripps Trail,92131,Eatery
Chile Peppers,10299 Scripps Trail STE B,92131,Eatery
Scripps Salon and Spa,10006 Scripps Ranch Blvd,92131,Services
STEM Florist Company,9992 Scripps Ranch Blvd,92131,Goods & Materials
Focus Nails and Spa,9986 Scripps Ranch Blvd,92131,Services
Todo Sushi,9823 Carroll Canyon Rd,92131,Eatery
Calico Games,9821 Carroll Canyon Rd A,92131,Goods & Materials
Newtopia Cyder,10045 Carroll Canyon Rd A,92131,Eatery
National Foundation for Autism Research,9825 Businesspark Ave,92131,Services
JING Institute of Chinese Martial Arts,9865 Businesspark Ave d,92131,Services
San Diego Hockey Development Center,9865 Businesspark Ave suite a,92131,Services
Harland Brewing Co. ,10115 Carroll Canyon Rd.,92131,Eatery
Ron's Pharmacy Services,"10121 Carroll Canyon Rd,",92131,Services
Kids4Community,"10121 Carroll Canyon Rd,",92131,Services
Support The Enlisted Project (STEP),9915 Businesspark Ave # A,92131,Services
Emiliana's Mexican and Deli Food,9965 Businesspark Ave,92131,Eatery
Scripps Ranch Kindercare,"10623 Treena St,",92131,Services
Fillipi's Pizza Grotto,9969 Mira Mesa Blvd,92131,Eatery
Loving Hut Vegan Cuisine,9928 Mira Mesa Blvd,92131,Eatery
SHABU-WORKS,9841 Mira Mesa Blvd,92131,Eatery
Sweet Treats by Jess Bakery,N/A,92131,Eatery
Luna Grill Scripps Ranch,10585 Scripps Poway Pkwy Suite D,92131,Eatery
Public House 131,10393 Spring Canyon Rd b,92131,Eatery
Pacific Coast Health Smoothies,10585 Scripps Poway Pkwy Suite A,92131,Eatery
Wahine Kai Shaved Ice,"10545 Scripps Poway Pkwy,",92131,Eatery
The Glen at Scripps Ranch,"9800 Glen Center Dr,",92131,Services
Ridgeview Health Center,"9825 Glen Center Dr,",92131,Services
My Friends & I Children's Center,9972 Avenida Magnifica,92131,Services
Chili's Grill & Bar,10184 Scripps Highlands Dr,92131,Eatery
Evans Tire Scripps Ranch,12093 Scripps Summit Dr,92131,Services
Donut Touch,12033 Scripps Summit Dr Suite C,92131,Eatery
Tinted Brush Hair Salon,12030 Scripps Summit Dr Suite D,92131,Services
School of Rock,12090 Scripps Summit Dr,92131,Services
Dye Paintball,10637 Scripps Summit Ct Suite A,92131,Services
Sharetea Scripps Ranch,9827 Mira Mesa Blvd,92131,Eatery
Board and Brew Scripps Ranch,9880 Hibert St E-3,92131,Eatery
Kappa Sushi,9870 Hibert St,92131,Eatery
Dayung's Tea Scripps Ranch,9870 Hibert St #D6,92131,Eatery
Breakfast Republic Scripps Ranch,9844 Hibert St,92131,Eatery
Chuck E. Cheese,9840 Hibert St,92131,Services
Himalayan Grill,9842 Hibert St,92131,Eatery
Black Mountain Bicycles,9860 Hibert St c1,92131,Goods & Materials
Supercuts,9870 Hibert St D7,92131,Services
Rumble Boxing,9872 Hibert St d4,92131,Services
Grace Threading,"9872 Hibert St Ste D2,",92131,Services
Sees Candy Scripps Ranch,"9870 Hibert St, San Diego",92131,Goods & Materials
Sees Candy Scripps Ranch,"9870 Hibert St, San Diego",92131,